player,position,espn_proj_pts,fantasyData_proj_pts,fantasySharks_proj_pts,ffToday_proj_pts,cbs_proj_pts,fantasyPros_proj_pts,ffAnalytics_robust_proj_pts,ffAnalytics_weighted_proj_pts,nfl_proj_pts,yahoo_proj_pts
Tyrod Taylor,QB,283.4,273.78,271.908,266.9,302,261.4,273.7085,272.2659574,252.102,286.26
Danny Woodhead,RB,114.5,106.6,121.18,90.1,119,105.93,109.7325,111.9905206,134.037,88.8
J.J. Nelson,WR,88.3,89.8,109.92,79.4,113,90.05,93.2375,96.49185575,74.245,113.51
Erik Swoope,TE,44.9,49.5,46.48,75.6,37,56.86,47.2425,47.22915687,23.966,36.7
Thomas Rawls,RB,55.5,68.1,103.22,69.8,83,70.41,70.75325,74.38937892,57.74,67
Will Fuller V,WR,103,92.4,77.45,86.5,59,85.87,84,84.95083084,79.822,107.09
Allen Robinson,WR,135.7,140.6,159,148.6,118,140.72,142.23,143.4618613,126.115,161.6
Le'Veon Bell,RB,293.3,274.2,248.29,256.1,255,271.05,263.5475,263.6164263,263.296,250.6
Demaryius Thomas,WR,139.4,152.3,124.16,154.5,129,142.36,141.29,142.9161091,131.613,168.8
Zay Jones,WR,81.7,73.4,62.74,66.1,75,75.39,80.8225,83.32352047,100.632,103.5
Charone Peake,WR,56.1,27.4,28.49,28.36765,19,24.95,36.5695,39.3694957,59.014,30
Damien Williams,RB,43.4,58.7,74.31,45.3,69,52.63,51.92,52.55888462,50.825,27.2
Mike Wallace,WR,109.6,114.9,109.59,121.1,99,113.09,112.7625,113.970316,87.665,138.28
Dez Bryant,WR,149.7,163.6,166.9,158.7,139,151.64,157.895,161.4663039,156.238,189.3
Terrance Williams,WR,82.5,80,89.94,50.2,74,73.08,82.378,81.52351208,95.089,94.5
Jeremy Maclin,WR,115.1,104.1,136.7,95.5,101,102.7,106.442,105.7803931,89.579,114.97
Benjamin Cunningham,RB,58.3,36.8,9.89,18.1,22,32.11,25.5295,24.42619568,28.538,30.9
Martellus Bennett,TE,101.4,101,98.56,108.5,80,104.29,102.5975,101.3092036,77.37,121.8
Devontae Booker,RB,46.6,61.2,78.75,78.7,51,59.85,70.365,70.69480589,86.235,74.5
Robert Woods,WR,99.1,86.5,74.92,95.7,63,89.27,91.073,91.46934605,98.161,107.5
Cameron Meredith,WR,101.3,99.8,120.02,130.6,92,105.13,114.74125,116.5386743,124.311,124.8
Austin Hooper,TE,93.1,92.9,83.09,55.5,74,76.07,75.9875,77.1938341,55.97,76
Rob Gronkowski,TE,156.3,156.8,136.72,144,114,150.14,148.915,147.1847652,149.852,154.3
Kenyan Drake,RB,41,41.2,26.47,17.8,44,36.01,36.6875,39.4041639,29.804,65.8
Vernon Davis,TE,43.1,37.9,59.51,49.3,50,46.76,51.48775,50.93706008,28.904,76.5
Falcons,DST,92.2,91,95,99,135,100.2,102.325,102.1689669,107.99,96.5
Tyreek Hill,WR,132.3,130.2,128.9,145.5,103,130.96,140.4425,138.6383938,141.426,146.8
Tevin Coleman,RB,133.7,148.8,111.57,126.3,156,143.17,140.052,139.5296802,138.425,148.1
Theo Riddick,RB,115,117.9,79.63,117.1,119,115.95,113.2625,109.9579417,94.818,110.1
Jared Cook,TE,68.1,65.4,70.49,86.5,71,76.7,77.455,78.51187565,109.18,79.2
Corey Coleman,WR,109.6,112.3,86.86,89.5,102,108.1,103.002,103.3536917,88.641,127.51
Isaiah Crowell,RB,177.1,170.4,140.3,144,146,165.65,159.54275,159.2605061,152.06,169.3
Jamaal Charles,RB,106.4,90,91.04,66.2,82,80.83,87.027,89.54330987,79.758,107.8
Julian Edelman,WR,135.1,131.1,136.12,127.1,154,131.89,140.565,141.4257879,168.449,137.29
Jordan Howard,RB,203.7,197.7,223.63,214.1,176,203.68,206.42,206.9414349,208.653,207.6
Davante Adams,WR,134.2,134.1,148.78,115.4,121,127.13,133.635,136.8585012,139.008,157.3
Rishard Matthews,WR,105.7,112.9,126.99,119.6,133,116.9,124.87125,126.3969532,138.67,146.7
Cooper Kupp,WR,72.2,54.4,25.5,43.6,36,50.73,44.5,45.1713158,42.275,42.8
Braxton Miller,WR,62.7,46.9,25.65,30.5,27,41.87,32.973,34.16702669,22.29,29.5
Eric Decker,WR,119.2,112.8,136.6,101.4,127,113,133.014,131.6538162,139.323,122.8
Rams,DST,106,93,105,104,129,112.5,115.635,115.7746008,108.72,85.8888
C.J. Prosise,RB,90.9,85,99.11,66,101,86.47,87.8125,88.00646154,64.949,92.6
Marshawn Lynch,RB,189.7,166.8,188.99,179.6,152,178.06,176.229,175.6418668,176.879,158.8
David Njoku,TE,59.9,56.7,86.42,81,45,68.32,66.5325,66.36834728,61.224,69
DeSean Jackson,WR,122.6,121.2,118.61,110.5,112,121.17,124.4975,126.323927,136.243,150.57
Austin Seferian-Jenkins,TE,53.4,50.3,62,33.5,24,46.96,42.3315,41.80663658,32.223,31.8
Matt Forte,RB,126.9,124.9,144.41,124.1,111,124.32,127.155,130.3015405,152.102,122.4
Brandon Marshall,WR,132.7,129.4,134.13,109.5,146,128.12,129.3785,127.843489,106.034,129.1
Alvin Kamara,RB,81.4,55.2,46.78,49.2,42,60.26,59.31475,59.27779484,53.026,70.6
Mike Gillislee,RB,150.2,138.6,163.75,126.8,123,133.03,137.39,141.2975961,137.214,141.62
Mark Ingram,RB,158.9,158.7,170.4,157.8,152,158.35,162.0775,163.5130836,191.073,152.4
Carlos Hyde,RB,149.7,146.4,177.28,144.3,136,142.58,147.71525,152.136432,154.672,159.8
Ty Montgomery,RB,143.4,161.2,167.4,152,142,157.8,154.30025,149.6645648,165.636,131.3
Tyler Boyd,WR,61.1,57.4,62.63,53.1,46,52.51,57.745,63.49624236,54.85775,88.09
Drew Stanton,QB,16.3,9.26,-6.572,15.8,0.2,10.4,10.074,11.85424206,4.2916,35.35
Coby Fleener,TE,92.1,87,75.12,92.5,67,91.12,83.77025,84.24201958,66.915,99.6
Kenny Stills,WR,100.8,97.9,106.08,98,77,92.51,99.6875,103.4038787,109.508,119.1
Chris Conley,WR,57.5,63.6,62.44,78.5,37,62.52,63.08625,64.59647308,66.828,74.1
Marquise Goodwin,WR,58.9,54.5,52.89,41.6,37,53.65,56.065,56.91776238,65.983,75.8
Albert Wilson,WR,66.6,51.3,59.09,28.5,48,47.43,45.4775,46.08185541,35.778,39.26
